,t,infection_fraction
0,0,0.202
1,1,0.202
2,2,0.202
3,3,0.202
4,4,0.204
5,5,0.206
6,6,0.206
7,7,0.206
8,8,0.206
9,9,0.206
10,10,0.206
11,11,0.208
12,12,0.212
13,13,0.212
14,14,0.214
15,15,0.212
16,16,0.212
17,17,0.194
18,18,0.138
19,19,0.062
20,20,0.038
21,21,0.042
22,22,0.044
23,23,0.048
24,24,0.054
25,25,0.062
26,26,0.064
27,27,0.074
28,28,0.078
29,29,0.084
30,30,0.084
31,31,0.088
32,32,0.09
33,33,0.092
34,34,0.102
35,35,0.098
36,36,0.094
37,37,0.094
38,38,0.096
39,39,0.092
40,40,0.096
41,41,0.09
42,42,0.09
43,43,0.088
44,44,0.096
45,45,0.098
46,46,0.094
47,47,0.094
48,48,0.1
49,49,0.094
50,50,0.096
51,51,0.104
52,52,0.102
53,53,0.104
54,54,0.114
55,55,0.114
56,56,0.114
57,57,0.12
58,58,0.13
59,59,0.13
60,60,0.126
61,61,0.122
62,62,0.126
63,63,0.122
64,64,0.132
65,65,0.142
66,66,0.146
67,67,0.146
68,68,0.148
69,69,0.158
70,70,0.152
71,71,0.15
72,72,0.15
73,73,0.156
74,74,0.164
75,75,0.166
76,76,0.16
77,77,0.16
78,78,0.164
79,79,0.172
80,80,0.168
81,81,0.182
82,82,0.188
83,83,0.188
84,84,0.192
85,85,0.2
86,86,0.196
87,87,0.196
88,88,0.2
89,89,0.198
90,90,0.19
91,91,0.19
92,92,0.192
93,93,0.182
94,94,0.178
95,95,0.182
96,96,0.188
97,97,0.186
98,98,0.188
99,99,0.182
100,100,0.18
101,101,0.186
102,102,0.174
103,103,0.166
104,104,0.154
105,105,0.158
106,106,0.156
107,107,0.166
108,108,0.168
109,109,0.186
110,110,0.194
111,111,0.192
112,112,0.196
113,113,0.2
114,114,0.208
115,115,0.194
116,116,0.204
117,117,0.202
118,118,0.206
119,119,0.19
120,120,0.19
121,121,0.204
122,122,0.218
123,123,0.232
124,124,0.222
125,125,0.222
126,126,0.226
127,127,0.228
128,128,0.222
129,129,0.23
130,130,0.228
131,131,0.222
132,132,0.222
133,133,0.224
134,134,0.228
135,135,0.232
136,136,0.24
137,137,0.244
138,138,0.24
139,139,0.23
140,140,0.212
141,141,0.214
142,142,0.21
143,143,0.196
144,144,0.192
145,145,0.192
146,146,0.186
147,147,0.178
148,148,0.17
149,149,0.168
150,150,0.164
151,151,0.162
152,152,0.166
153,153,0.166
154,154,0.166
155,155,0.17
156,156,0.176
157,157,0.176
158,158,0.186
159,159,0.19
160,160,0.194
161,161,0.188
162,162,0.196
163,163,0.204
164,164,0.214
165,165,0.218
166,166,0.224
167,167,0.226
168,168,0.234
169,169,0.234
170,170,0.232
171,171,0.236
172,172,0.222
173,173,0.22
174,174,0.224
175,175,0.216
176,176,0.23
177,177,0.244
178,178,0.242
179,179,0.242
180,180,0.246
181,181,0.238
182,182,0.246
183,183,0.24
184,184,0.238
185,185,0.234
186,186,0.24
187,187,0.238
188,188,0.232
189,189,0.232
190,190,0.238
191,191,0.242
192,192,0.232
193,193,0.224
194,194,0.226
195,195,0.216
196,196,0.216
197,197,0.208
198,198,0.212
199,199,0.204
200,200,0.2
201,201,0.182
202,202,0.184
203,203,0.198
204,204,0.2
205,205,0.204
206,206,0.2
207,207,0.204
208,208,0.208
209,209,0.2
210,210,0.21
211,211,0.226
212,212,0.238
213,213,0.236
214,214,0.23
215,215,0.234
216,216,0.23
217,217,0.232
218,218,0.232
219,219,0.246
220,220,0.248
221,221,0.256
222,222,0.256
223,223,0.248
224,224,0.244
225,225,0.238
226,226,0.238
227,227,0.236
228,228,0.24
229,229,0.228
230,230,0.228
231,231,0.236
232,232,0.234
233,233,0.238
234,234,0.238
235,235,0.246
236,236,0.254
237,237,0.25
238,238,0.234
239,239,0.234
240,240,0.248
241,241,0.24
242,242,0.234
243,243,0.23
244,244,0.242
245,245,0.246
246,246,0.242
247,247,0.24
248,248,0.25
249,249,0.248
250,250,0.24
251,251,0.23
252,252,0.23
253,253,0.242
254,254,0.228
255,255,0.23
256,256,0.224
257,257,0.236
258,258,0.232
259,259,0.222
260,260,0.228
261,261,0.23
262,262,0.226
263,263,0.226
264,264,0.228
265,265,0.236
266,266,0.238
267,267,0.226
268,268,0.224
269,269,0.228
270,270,0.232
271,271,0.244
272,272,0.248
273,273,0.258
274,274,0.24
275,275,0.238
276,276,0.242
277,277,0.254
278,278,0.254
279,279,0.246
280,280,0.244
281,281,0.244
282,282,0.252
283,283,0.256
284,284,0.254
285,285,0.242
286,286,0.238
287,287,0.242
288,288,0.24
289,289,0.246
290,290,0.238
291,291,0.236
292,292,0.236
293,293,0.24
294,294,0.248
295,295,0.252
296,296,0.254
297,297,0.258
298,298,0.264
299,299,0.26
300,300,0.264
301,301,0.27
302,302,0.264
303,303,0.27
304,304,0.272
305,305,0.284
306,306,0.284
307,307,0.284
308,308,0.276
309,309,0.274
310,310,0.274
311,311,0.284
312,312,0.278
313,313,0.262
314,314,0.262
315,315,0.266
316,316,0.266
317,317,0.25
318,318,0.238
319,319,0.234
320,320,0.226
321,321,0.234
322,322,0.23
323,323,0.226
324,324,0.224
325,325,0.216
326,326,0.216
327,327,0.216
328,328,0.208
329,329,0.202
330,330,0.204
331,331,0.206
332,332,0.216
333,333,0.21
334,334,0.194
335,335,0.216
336,336,0.214
337,337,0.22
338,338,0.212
339,339,0.216
340,340,0.238
341,341,0.238
342,342,0.238
343,343,0.248
344,344,0.254
345,345,0.262
346,346,0.266
347,347,0.264
348,348,0.264
349,349,0.262
350,350,0.268
351,351,0.272
352,352,0.292
353,353,0.288
354,354,0.282
355,355,0.284
356,356,0.292
357,357,0.282
358,358,0.292
359,359,0.284
360,360,0.286
361,361,0.292
362,362,0.28
363,363,0.278
364,364,0.28
365,365,0.276
366,366,0.276
367,367,0.286
368,368,0.28
369,369,0.282
370,370,0.268
371,371,0.266
372,372,0.262
373,373,0.254
374,374,0.254
375,375,0.25
376,376,0.236
377,377,0.226
378,378,0.214
379,379,0.216
380,380,0.208
381,381,0.214
382,382,0.214
383,383,0.21
384,384,0.214
385,385,0.212
386,386,0.212
387,387,0.222
388,388,0.224
389,389,0.232
390,390,0.228
391,391,0.23
392,392,0.236
393,393,0.228
