,t,infection_fraction
0,0,0.201
1,1,0.201
2,2,0.201
3,3,0.201
4,4,0.201
5,5,0.201
6,6,0.201
7,7,0.201
8,8,0.211
9,9,0.222
10,10,0.238
11,11,0.245
12,12,0.249
13,13,0.255
14,14,0.262
15,15,0.265
16,16,0.272
17,17,0.256
18,18,0.195
19,19,0.141
20,20,0.143
21,21,0.158
22,22,0.168
23,23,0.183
24,24,0.194
25,25,0.211
26,26,0.228
27,27,0.231
28,28,0.228
29,29,0.221
30,30,0.226
31,31,0.23
32,32,0.235
33,33,0.24
34,34,0.252
35,35,0.255
36,36,0.26
37,37,0.255
38,38,0.258
39,39,0.259
40,40,0.263
41,41,0.247
42,42,0.248
43,43,0.241
44,44,0.241
45,45,0.24
46,46,0.238
47,47,0.242
48,48,0.235
49,49,0.232
50,50,0.235
51,51,0.236
52,52,0.229
53,53,0.217
54,54,0.2
55,55,0.194
56,56,0.19
57,57,0.189
58,58,0.188
59,59,0.19
60,60,0.185
61,61,0.173
62,62,0.171
63,63,0.168
64,64,0.164
65,65,0.16
66,66,0.155
67,67,0.153
68,68,0.148
69,69,0.14
70,70,0.13
71,71,0.126
72,72,0.124
73,73,0.114
74,74,0.107
75,75,0.105
76,76,0.102
77,77,0.091
78,78,0.091
79,79,0.088
80,80,0.085
81,81,0.082
82,82,0.079
83,83,0.08
84,84,0.077
85,85,0.076
86,86,0.074
87,87,0.068
88,88,0.066
89,89,0.065
90,90,0.063
91,91,0.063
92,92,0.06
93,93,0.055
94,94,0.05
95,95,0.044
96,96,0.046
97,97,0.049
98,98,0.047
99,99,0.046
100,100,0.043
101,101,0.038
102,102,0.035
103,103,0.032
104,104,0.028
105,105,0.03
106,106,0.031
107,107,0.031
108,108,0.029
109,109,0.028
110,110,0.028
111,111,0.028
112,112,0.027
113,113,0.026
114,114,0.026
115,115,0.02
116,116,0.019
117,117,0.017
118,118,0.018
119,119,0.018
120,120,0.017
121,121,0.017
122,122,0.017
123,123,0.015
124,124,0.014
125,125,0.014
126,126,0.012
127,127,0.011
128,128,0.01
129,129,0.01
130,130,0.01
131,131,0.009
132,132,0.008
133,133,0.009
134,134,0.008
135,135,0.01
136,136,0.008
137,137,0.007
138,138,0.008
139,139,0.008
140,140,0.008
141,141,0.007
142,142,0.007
143,143,0.007
144,144,0.007
145,145,0.007
146,146,0.007
147,147,0.007
148,148,0.009
149,149,0.009
150,150,0.009
151,151,0.009
152,152,0.007
153,153,0.007
154,154,0.007
155,155,0.007
156,156,0.007
157,157,0.006
158,158,0.006
159,159,0.005
160,160,0.005
161,161,0.005
162,162,0.004
163,163,0.004
164,164,0.005
165,165,0.005
166,166,0.006
167,167,0.004
168,168,0.003
169,169,0.003
170,170,0.003
171,171,0.003
172,172,0.003
173,173,0.003
174,174,0.003
175,175,0.003
176,176,0.003
177,177,0.003
178,178,0.003
179,179,0.003
180,180,0.003
181,181,0.004
182,182,0.004
183,183,0.003
184,184,0.002
185,185,0.002
186,186,0.003
187,187,0.003
188,188,0.003
189,189,0.003
190,190,0.003
191,191,0.002
192,192,0.002
193,193,0.002
194,194,0.002
195,195,0.003
196,196,0.003
197,197,0.003
198,198,0.003
199,199,0.003
200,200,0.003
201,201,0.002
202,202,0.002
203,203,0.003
204,204,0.003
205,205,0.002
206,206,0.002
207,207,0.002
208,208,0.002
209,209,0.002
210,210,0.002
211,211,0.002
212,212,0.002
213,213,0.002
214,214,0.001
215,215,0.001
216,216,0.001
217,217,0.001
218,218,0.001
219,219,0.001
220,220,0.0
221,221,0.0
222,222,0.0
223,223,0.0
224,224,0.0
225,225,0.0
226,226,0.0
227,227,0.0
228,228,0.0
229,229,0.0
230,230,0.0
231,231,0.0
232,232,0.0
233,233,0.0
234,234,0.0
235,235,0.0
236,236,0.0
237,237,0.0
238,238,0.0
239,239,0.0
240,240,0.0
241,241,0.0
242,242,0.0
243,243,0.0
244,244,0.0
245,245,0.0
246,246,0.0
247,247,0.0
248,248,0.0
249,249,0.0
250,250,0.0
251,251,0.0
252,252,0.0
253,253,0.0
254,254,0.0
255,255,0.0
256,256,0.0
257,257,0.0
258,258,0.0
259,259,0.0
260,260,0.0
261,261,0.0
262,262,0.0
263,263,0.0
264,264,0.0
265,265,0.0
266,266,0.0
267,267,0.0
268,268,0.0
269,269,0.0
270,270,0.0
271,271,0.0
272,272,0.0
273,273,0.0
274,274,0.0
275,275,0.0
276,276,0.0
277,277,0.0
278,278,0.0
279,279,0.0
280,280,0.0
281,281,0.0
282,282,0.0
283,283,0.0
284,284,0.0
285,285,0.0
286,286,0.0
287,287,0.0
288,288,0.0
289,289,0.0
290,290,0.0
291,291,0.0
292,292,0.0
293,293,0.0
294,294,0.0
295,295,0.0
296,296,0.0
297,297,0.0
298,298,0.0
299,299,0.0
300,300,0.0
301,301,0.0
302,302,0.0
303,303,0.0
304,304,0.0
305,305,0.0
306,306,0.0
307,307,0.0
308,308,0.0
309,309,0.0
310,310,0.0
311,311,0.0
312,312,0.0
313,313,0.0
314,314,0.0
315,315,0.0
316,316,0.0
317,317,0.0
318,318,0.0
319,319,0.0
320,320,0.0
321,321,0.0
322,322,0.0
323,323,0.0
324,324,0.0
325,325,0.0
326,326,0.0
327,327,0.0
328,328,0.0
329,329,0.0
330,330,0.0
331,331,0.0
332,332,0.0
333,333,0.0
334,334,0.0
335,335,0.0
336,336,0.0
337,337,0.0
338,338,0.0
339,339,0.0
340,340,0.0
341,341,0.0
342,342,0.0
343,343,0.0
344,344,0.0
345,345,0.0
346,346,0.0
347,347,0.0
348,348,0.0
349,349,0.0
350,350,0.0
351,351,0.0
352,352,0.0
353,353,0.0
354,354,0.0
355,355,0.0
356,356,0.0
357,357,0.0
358,358,0.0
359,359,0.0
360,360,0.0
361,361,0.0
362,362,0.0
363,363,0.0
364,364,0.0
365,365,0.0
366,366,0.0
367,367,0.0
368,368,0.0
369,369,0.0
370,370,0.0
371,371,0.0
372,372,0.0
373,373,0.0
374,374,0.0
375,375,0.0
376,376,0.0
377,377,0.0
378,378,0.0
379,379,0.0
380,380,0.0
381,381,0.0
382,382,0.0
383,383,0.0
384,384,0.0
385,385,0.0
386,386,0.0
387,387,0.0
388,388,0.0
389,389,0.0
390,390,0.0
391,391,0.0
392,392,0.0
393,393,0.0
394,394,0.0
395,395,0.0
396,396,0.0
397,397,0.0
398,398,0.0
399,399,0.0
400,400,0.0
401,401,0.0
402,402,0.0
403,403,0.0
404,404,0.0
405,405,0.0
406,406,0.0
407,407,0.0
408,408,0.0
409,409,0.0
410,410,0.0
411,411,0.0
412,412,0.0
413,413,0.0
414,414,0.0
415,415,0.0
416,416,0.0
417,417,0.0
418,418,0.0
419,419,0.0
420,420,0.0
421,421,0.0
422,422,0.0
423,423,0.0
424,424,0.0
425,425,0.0
426,426,0.0
427,427,0.0
428,428,0.0
429,429,0.0
430,430,0.0
431,431,0.0
432,432,0.0
433,433,0.0
434,434,0.0
435,435,0.0
436,436,0.0
437,437,0.0
438,438,0.0
439,439,0.0
440,440,0.0
441,441,0.0
442,442,0.0
443,443,0.0
444,444,0.0
445,445,0.0
446,446,0.0
447,447,0.0
448,448,0.0
449,449,0.0
450,450,0.0
451,451,0.0
452,452,0.0
453,453,0.0
454,454,0.0
455,455,0.0
456,456,0.0
457,457,0.0
458,458,0.0
459,459,0.0
460,460,0.0
461,461,0.0
462,462,0.0
463,463,0.0
464,464,0.0
465,465,0.0
466,466,0.0
467,467,0.0
468,468,0.0
469,469,0.0
470,470,0.0
471,471,0.0
472,472,0.0
473,473,0.0
474,474,0.0
475,475,0.0
476,476,0.0
477,477,0.0
478,478,0.0
479,479,0.0
480,480,0.0
481,481,0.0
482,482,0.0
483,483,0.0
484,484,0.0
485,485,0.0
486,486,0.0
487,487,0.0
488,488,0.0
489,489,0.0
490,490,0.0
491,491,0.0
492,492,0.0
493,493,0.0
494,494,0.0
495,495,0.0
496,496,0.0
497,497,0.0
498,498,0.0
499,499,0.0
500,500,0.0
501,501,0.0
502,502,0.0
503,503,0.0
504,504,0.0
505,505,0.0
506,506,0.0
507,507,0.0
508,508,0.0
509,509,0.0
510,510,0.0
511,511,0.0
512,512,0.0
513,513,0.0
514,514,0.0
515,515,0.0
516,516,0.0
517,517,0.0
518,518,0.0
519,519,0.0
520,520,0.0
521,521,0.0
522,522,0.0
523,523,0.0
524,524,0.0
525,525,0.0
526,526,0.0
527,527,0.0
528,528,0.0
529,529,0.0
530,530,0.0
531,531,0.0
532,532,0.0
533,533,0.0
534,534,0.0
535,535,0.0
536,536,0.0
537,537,0.0
538,538,0.0
539,539,0.0
540,540,0.0
541,541,0.0
542,542,0.0
543,543,0.0
544,544,0.001
545,545,0.001
546,546,0.001
547,547,0.001
548,548,0.001
549,549,0.001
550,550,0.001
551,551,0.001
552,552,0.001
553,553,0.001
554,554,0.002
555,555,0.002
556,556,0.002
557,557,0.003
558,558,0.003
559,559,0.003
560,560,0.003
561,561,0.003
562,562,0.003
563,563,0.002
564,564,0.002
565,565,0.002
566,566,0.002
567,567,0.002
568,568,0.002
569,569,0.002
570,570,0.002
571,571,0.002
572,572,0.001
573,573,0.001
574,574,0.001
575,575,0.002
576,576,0.001
577,577,0.001
578,578,0.001
579,579,0.001
580,580,0.001
581,581,0.001
582,582,0.001
583,583,0.001
584,584,0.002
585,585,0.003
586,586,0.003
587,587,0.004
588,588,0.004
589,589,0.004
590,590,0.004
591,591,0.004
592,592,0.004
593,593,0.003
594,594,0.004
595,595,0.004
596,596,0.004
597,597,0.005
598,598,0.005
599,599,0.005
600,600,0.006
601,601,0.006
602,602,0.006
603,603,0.007
604,604,0.006
605,605,0.005
606,606,0.006
607,607,0.007
608,608,0.008
609,609,0.008
610,610,0.008
611,611,0.01
612,612,0.01
613,613,0.01
614,614,0.01
615,615,0.01
616,616,0.011
617,617,0.011
618,618,0.012
619,619,0.011
620,620,0.012
621,621,0.011
622,622,0.012
623,623,0.013
624,624,0.012
625,625,0.012
626,626,0.012
627,627,0.011
628,628,0.011
629,629,0.013
630,630,0.014
631,631,0.014
632,632,0.015
633,633,0.014
634,634,0.012
635,635,0.012
636,636,0.014
637,637,0.016
638,638,0.017
639,639,0.018
640,640,0.021
641,641,0.021
642,642,0.023
643,643,0.023
644,644,0.025
645,645,0.026
646,646,0.026
647,647,0.028
648,648,0.027
649,649,0.03
650,650,0.03
651,651,0.029
652,652,0.029
653,653,0.031
654,654,0.031
655,655,0.032
656,656,0.033
657,657,0.034
658,658,0.036
659,659,0.034
660,660,0.036
661,661,0.035
662,662,0.036
663,663,0.039
664,664,0.039
665,665,0.039
666,666,0.041
667,667,0.041
668,668,0.041
669,669,0.043
670,670,0.045
671,671,0.053
672,672,0.053
673,673,0.054
674,674,0.056
675,675,0.056
676,676,0.06
677,677,0.06
678,678,0.063
679,679,0.064
680,680,0.064
681,681,0.06
682,682,0.064
683,683,0.065
684,684,0.067
685,685,0.067
686,686,0.072
687,687,0.074
688,688,0.068
689,689,0.069
690,690,0.066
691,691,0.065
692,692,0.067
693,693,0.07
694,694,0.072
695,695,0.074
696,696,0.074
697,697,0.073
698,698,0.078
699,699,0.082
700,700,0.085
701,701,0.085
702,702,0.085
703,703,0.087
704,704,0.086
705,705,0.084
706,706,0.083
707,707,0.084
708,708,0.082
709,709,0.088
710,710,0.096
711,711,0.092
712,712,0.096
713,713,0.093
714,714,0.093
715,715,0.09
716,716,0.085
717,717,0.083
718,718,0.083
719,719,0.086
720,720,0.088
721,721,0.088
722,722,0.091
723,723,0.094
724,724,0.093
725,725,0.098
726,726,0.102
727,727,0.103
728,728,0.103
729,729,0.102
730,730,0.106
731,731,0.111
732,732,0.108
733,733,0.113
734,734,0.119
735,735,0.122
736,736,0.125
737,737,0.128
738,738,0.121
739,739,0.117
740,740,0.118
741,741,0.118
742,742,0.118
743,743,0.121
744,744,0.111
745,745,0.116
746,746,0.118
747,747,0.116
748,748,0.115
749,749,0.112
750,750,0.113
751,751,0.116
752,752,0.115
753,753,0.115
754,754,0.116
755,755,0.116
756,756,0.115
757,757,0.117
758,758,0.119
759,759,0.12
760,760,0.12
761,761,0.121
762,762,0.124
763,763,0.123
764,764,0.121
765,765,0.121
766,766,0.123
767,767,0.12
768,768,0.117
769,769,0.12
770,770,0.115
771,771,0.116
772,772,0.116
773,773,0.113
774,774,0.121
775,775,0.127
776,776,0.13
777,777,0.129
778,778,0.129
779,779,0.124
780,780,0.123
781,781,0.12
782,782,0.123
783,783,0.125
784,784,0.124
785,785,0.124
786,786,0.115
787,787,0.119
788,788,0.121
789,789,0.114
790,790,0.112
791,791,0.112
792,792,0.119
793,793,0.114
794,794,0.108
795,795,0.105
796,796,0.105
797,797,0.102
798,798,0.105
799,799,0.111
800,800,0.107
801,801,0.107
802,802,0.108
803,803,0.111
804,804,0.102
805,805,0.103
806,806,0.106
807,807,0.1
808,808,0.097
809,809,0.097
810,810,0.09
811,811,0.087
812,812,0.08
813,813,0.082
814,814,0.079
815,815,0.076
816,816,0.073
817,817,0.069
818,818,0.062
819,819,0.056
820,820,0.054
821,821,0.055
822,822,0.055
823,823,0.059
824,824,0.058
825,825,0.055
826,826,0.057
827,827,0.056
828,828,0.055
829,829,0.052
830,830,0.052
831,831,0.053
832,832,0.049
833,833,0.048
834,834,0.045
835,835,0.045
836,836,0.048
837,837,0.046
838,838,0.043
839,839,0.04
840,840,0.038
841,841,0.035
842,842,0.032
843,843,0.029
844,844,0.029
845,845,0.029
846,846,0.027
847,847,0.026
848,848,0.025
849,849,0.025
850,850,0.021
851,851,0.021
852,852,0.021
853,853,0.022
854,854,0.02
855,855,0.018
856,856,0.017
857,857,0.018
858,858,0.016
859,859,0.015
860,860,0.016
861,861,0.016
862,862,0.013
863,863,0.013
864,864,0.014
865,865,0.014
866,866,0.015
867,867,0.014
868,868,0.014
869,869,0.015
870,870,0.014
871,871,0.013
872,872,0.013
873,873,0.014
874,874,0.015
875,875,0.015
876,876,0.014
877,877,0.014
878,878,0.014
879,879,0.014
880,880,0.014
881,881,0.014
882,882,0.013
883,883,0.012
884,884,0.011
885,885,0.011
886,886,0.013
887,887,0.012
888,888,0.012
889,889,0.01
890,890,0.009
891,891,0.009
892,892,0.009
893,893,0.007
894,894,0.007
895,895,0.006
896,896,0.006
897,897,0.006
898,898,0.006
899,899,0.005
900,900,0.005
901,901,0.005
902,902,0.004
903,903,0.004
904,904,0.004
905,905,0.005
906,906,0.004
907,907,0.003
908,908,0.002
909,909,0.001
910,910,0.001
911,911,0.001
912,912,0.001
913,913,0.002
914,914,0.002
915,915,0.002
916,916,0.002
917,917,0.002
918,918,0.002
919,919,0.002
920,920,0.002
921,921,0.002
922,922,0.002
923,923,0.001
924,924,0.001
925,925,0.001
926,926,0.001
927,927,0.001
928,928,0.002
929,929,0.002
930,930,0.002
931,931,0.001
932,932,0.001
933,933,0.001
934,934,0.001
935,935,0.001
936,936,0.001
937,937,0.001
938,938,0.001
939,939,0.001
940,940,0.001
941,941,0.001
942,942,0.001
943,943,0.001
944,944,0.001
945,945,0.001
946,946,0.001
947,947,0.0
948,948,0.0
949,949,0.0
950,950,0.0
951,951,0.0
952,952,0.0
953,953,0.0
954,954,0.0
955,955,0.0
956,956,0.0
957,957,0.0
958,958,0.0
959,959,0.0
960,960,0.001
961,961,0.001
962,962,0.001
963,963,0.001
964,964,0.002
965,965,0.002
966,966,0.002
967,967,0.002
968,968,0.002
969,969,0.002
970,970,0.002
971,971,0.002
972,972,0.002
973,973,0.002
974,974,0.002
975,975,0.002
976,976,0.002
977,977,0.002
978,978,0.002
979,979,0.001
980,980,0.001
981,981,0.001
982,982,0.0
983,983,0.0
984,984,0.0
985,985,0.0
986,986,0.0
987,987,0.0
988,988,0.0
989,989,0.0
990,990,0.0
991,991,0.0
992,992,0.0
993,993,0.0
994,994,0.0
995,995,0.0
996,996,0.0
997,997,0.0
998,998,0.0
999,999,0.0
